Name,Year,T,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,IsoP,Spd,BABIP,UBR,wSB,wRC,wRAA,wOBA,ev,wRC+
"Murakami, Munetaka",2023,S,597,15.1,28.1,0.54,0.256,0.375,0.5,0.875,0.244,2.3,0.319,-0.5,-0.1,92.9,36.7,0.39,133.8,153
"Sato, Teruaki",2023,T,548,9.9,25.4,0.39,0.263,0.339,0.498,0.837,0.235,5.2,0.318,1.9,-0.4,83.5,31.9,0.385,134.4,146
"Maki, Shugo",2023,DB,605,5.5,14,0.39,0.293,0.337,0.53,0.867,0.236,2.9,0.299,2.3,-0.3,91.6,34.6,0.384,132,151
"Tongu, Yuma",2023,B,451,9.1,15.3,0.59,0.307,0.378,0.484,0.862,0.177,0.9,0.336,-0.4,-,66.8,25.2,0.382,135.2,166
"Kondoh, Kensuke",2023,H,613,17.8,19.1,0.93,0.303,0.431,0.528,0.959,0.226,1.5,0.346,0.8,-0.9,109.6,53,0.424,131.7,194
"Asamura, Hideto",2023,E,601,12.5,18,0.69,0.274,0.368,0.462,0.829,0.188,1.6,0.301,-4.6,0,86.4,30.8,0.376,134.7,156
"Santana, Domingo",2023,S,516,8.5,22.1,0.39,0.3,0.36,0.484,0.844,0.184,1.9,0.361,-5.2,0.3,77.5,28.9,0.382,133.1,144
"Sakakura, Shogo",2023,C,448,10.5,15,0.7,0.266,0.347,0.41,0.757,0.144,2.9,0.292,-1.4,0.5,52.6,10.4,0.338,134.6,122
"Tatsumi, Ryosuke",2023,E,495,8.1,20,0.4,0.263,0.341,0.385,0.726,0.122,5.3,0.321,0.4,0.7,57.2,11.4,0.338,134.4,124
"Polanco, Gregory",2023,M,497,9.5,18.5,0.51,0.242,0.312,0.45,0.762,0.208,0.3,0.247,-0.2,-,58.1,12.1,0.34,134.5,124
"Martinez, Ariel",2023,F,444,9.9,22.3,0.44,0.246,0.338,0.425,0.763,0.179,1.2,0.291,-2.3,-1.4,54.4,13.4,0.347,134.8,130
"Nishikawa, Ryoma",2023,C,443,4.7,11.7,0.4,0.305,0.337,0.423,0.76,0.118,3.1,0.329,-1.1,-0.7,51.2,9.5,0.335,133.9,121
"Hosokawa, Seiya",2023,D,576,8.5,28,0.3,0.253,0.326,0.454,0.78,0.201,1.3,0.32,4,-,73.5,19.2,0.351,134.8,136
"Ohshiro, Takumi",2023,G,490,7.3,22.2,0.33,0.281,0.341,0.446,0.787,0.165,1.4,0.34,-2.8,-,63.3,17.2,0.353,134.5,130
"Mannami, Chusei",2023,F,582,7,23.7,0.3,0.265,0.321,0.467,0.788,0.203,2.1,0.312,0.2,0,77.4,23.6,0.361,134.7,135
"Chikamoto, Koji",2023,T,585,11.5,12.1,0.94,0.285,0.379,0.429,0.809,0.144,7.6,0.316,5.7,3.8,81.6,26.5,0.368,132.5,141
"Nakagawa, Keita",2023,B,563,7.6,16,0.48,0.269,0.334,0.417,0.751,0.148,4.2,0.306,-0.1,-0.9,69.3,17.2,0.348,135.7,129
"Akiyama, Shogo",2024,C,587,4.9,16.4,0.3,0.289,0.328,0.351,0.679,0.062,2.9,0.341,4.7,-0.6,54.2,3.4,0.307,129.5,104
"Ogoh, Yuya",2024,E,642,10.6,18.7,0.57,0.257,0.337,0.358,0.694,0.101,6.4,0.312,-2.3,2.7,69.1,11.2,0.325,135.2,117
"Imamiya, Kenta",2024,H,538,8.6,16.2,0.53,0.262,0.331,0.372,0.704,0.11,3.6,0.31,-0.2,0.1,56.6,8,0.322,134.4,118
"Sano, Keita",2024,DB,566,6.2,9.4,0.66,0.273,0.322,0.384,0.705,0.111,1.1,0.29,-3.5,-,56.6,7.6,0.318,131.5,109
"Nagaoka, Hideki",2024,S,611,4.7,11.5,0.41,0.288,0.324,0.367,0.692,0.08,3.1,0.318,-0.1,0.4,59.7,6.7,0.314,132.5,102
"Satoh, Toshiya",2024,M,452,6.4,11.3,0.57,0.278,0.326,0.363,0.689,0.085,2.6,0.303,1.6,0.2,43.6,2.8,0.309,135.5,107
"Suzuki, Daichi",2024,E,460,5,9.3,0.53,0.266,0.324,0.347,0.671,0.081,2.9,0.287,1.7,-,44.3,2.8,0.309,135.8,110
"Yano, Masaya",2024,C,495,7.7,22,0.35,0.26,0.322,0.333,0.655,0.072,5.7,0.341,6.1,-1,45.7,2.8,0.307,128.6,98
"Gunji, Yuya",2024,F,495,8.1,14.3,0.56,0.256,0.321,0.37,0.691,0.113,2,0.279,1.3,-0.4,53.5,8.8,0.326,132.3,112
"Genda, Sosuke",2024,L,577,5.5,13,0.43,0.264,0.307,0.337,0.644,0.073,5.2,0.303,3.4,0.3,48.7,-3.3,0.293,135.8,96
"Kozono, Kaito",2024,C,588,5.1,9,0.57,0.28,0.322,0.33,0.651,0.05,3.9,0.304,0.8,-0.7,52.9,1.9,0.304,129.5,94
"Tonosaki, Shuta",2024,L,500,9,17.6,0.51,0.227,0.312,0.337,0.649,0.11,3.7,0.267,0.4,0.5,45.1,0,0.301,135.5,101
"Nishikawa, Ryoma",2024,B,553,4.9,17.5,0.28,0.258,0.294,0.347,0.641,0.089,3.6,0.303,-0.9,1.2,46.9,-3,0.293,133.2,97
"Kikuchi, Ryosuke",2024,C,497,5,13.9,0.36,0.241,0.281,0.342,0.623,0.102,1.2,0.266,-2,-0.3,40.9,-2.2,0.293,129.8,86
"Kobukata, Hiroto",2024,E,522,8,16.1,0.5,0.229,0.296,0.287,0.582,0.058,6.2,0.273,5.9,0.6,39.9,-7.2,0.282,131.1,81
"Kurebayashi, Kotaro",2024,B,523,7.1,14.1,0.5,0.247,0.305,0.314,0.619,0.067,1.2,0.285,-2.6,-1.4,39.4,-7.8,0.28,130.4,91
"Matsumoto, Go",2024,F,486,4.9,10.7,0.46,0.236,0.279,0.288,0.568,0.053,4.9,0.263,-1.6,0,35.2,-8.7,0.276,133.2,67
"Murabayashi, Itsuki",2024,E,571,3.7,15.9,0.23,0.241,0.27,0.313,0.583,0.071,4.1,0.278,0.2,0.3,40.3,-11.2,0.273,130.6,77
"Okabayashi, Yuki",2024,D,460,6.3,13.5,0.47,0.256,0.304,0.294,0.598,0.038,4,0.3,3,-0.5,31,-8.9,0.272,130.2,85
"Noma, Takayoshi",2024,C,443,9.7,11.7,0.83,0.271,0.35,0.34,0.69,0.069,4.7,0.31,3.8,-0.2,47.7,9.3,0.328,129.5,112
"Shuto, Ukyo",2024,H,477,5.5,18.9,0.29,0.269,0.323,0.341,0.664,0.072,7.7,0.333,3.3,1.2,44.6,1.6,0.305,134.9,105
"Ohyama, Yusuke",2024,T,545,9.5,16.1,0.59,0.259,0.338,0.383,0.721,0.124,1.8,0.289,-1.6,-1.3,58.8,11.6,0.329,133.5,122
"Mori, Tomoya",2024,B,457,10.9,13.3,0.82,0.281,0.368,0.415,0.783,0.134,3.2,0.309,-3.4,0.5,59.3,18.1,0.356,132.9,146
"Yoshikawa, Naoki",2024,G,602,6.8,10.1,0.67,0.287,0.341,0.377,0.718,0.09,4.6,0.313,0.6,0.4,65.2,13.1,0.329,132.4,117
"Austin, Tyler",2024,DB,445,10.1,19.8,0.51,0.316,0.382,0.601,0.983,0.285,2.4,0.348,-0.5,-0.3,84,45.5,0.441,132.2,197
"Kondoh, Kensuke",2024,H,535,17.2,14.2,1.21,0.314,0.439,0.521,0.96,0.206,4.1,0.345,0.3,1.2,96,47.8,0.425,135,200
"Santana, Domingo",2024,S,484,11.8,20.9,0.56,0.315,0.399,0.506,0.905,0.191,1.8,0.377,-4.3,0,80.4,38.5,0.41,132,172
"Murakami, Munetaka",2024,S,610,17.2,29.5,0.58,0.244,0.379,0.472,0.851,0.228,3.3,0.309,0.9,0.1,91.5,38.6,0.387,132.7,156
"Okamoto, Kazuma",2024,G,611,10.8,15.9,0.68,0.28,0.362,0.501,0.863,0.221,1.4,0.296,1.6,-0.1,90.4,37.4,0.384,133.1,161
"Maki, Shugo",2024,DB,561,6.6,10.5,0.63,0.294,0.346,0.491,0.837,0.197,4.2,0.295,-1.2,1.9,82.3,33.7,0.383,130.7,152
"Hosokawa, Seiya",2024,D,600,10,26.5,0.38,0.292,0.368,0.478,0.846,0.185,0.8,0.377,2,-0.3,87.8,35.8,0.382,131.4,166
"Miyazaki, Toshiro",2024,DB,469,11.1,6.2,1.79,0.283,0.371,0.444,0.815,0.161,1.4,0.277,-3.8,-0.1,66.1,25.5,0.375,131.8,143
"Morishita, Shota",2024,T,526,10.1,14.8,0.68,0.275,0.363,0.441,0.804,0.166,2.2,0.3,1.7,-0.6,72.9,27.3,0.371,132.7,149
"Kurihara, Ryoya",2024,H,598,8.2,16.6,0.49,0.273,0.337,0.471,0.807,0.197,2.9,0.299,0.1,-0.1,81.9,28,0.366,134.8,151
"Yamakawa, Hotaka",2024,H,611,7.9,25.9,0.3,0.247,0.318,0.484,0.801,0.236,1.1,0.283,-5.8,-,82.4,27.3,0.363,134.8,151
"Soto, Neftali",2024,M,542,7.7,25.1,0.31,0.269,0.33,0.45,0.78,0.181,1.1,0.328,-2.2,-,68.3,19.4,0.351,134.9,139
"Polanco, Gregory",2024,M,468,9.8,18.4,0.53,0.243,0.318,0.459,0.778,0.216,0.7,0.251,-1.5,-,58.9,16.6,0.35,135.2,138
"Tatsumi, Ryosuke",2024,E,597,7.4,18.1,0.41,0.294,0.353,0.419,0.772,0.125,7,0.353,-5.2,2.1,73.7,19.8,0.347,135.1,141
"Sato, Teruaki",2024,T,496,7.3,26.8,0.27,0.268,0.327,0.439,0.766,0.171,3.3,0.343,6,-0.6,58.4,15.4,0.342,136.1,134
"Maru, Yoshihiro",2024,G,595,10.9,15.6,0.7,0.278,0.36,0.396,0.756,0.118,2.6,0.314,-1.1,0.1,69.5,17.9,0.341,132.5,131
"Martinez, Ariel",2024,F,459,11.1,22,0.5,0.234,0.336,0.405,0.74,0.17,3.5,0.279,-3.9,-0.1,53.6,12.1,0.338,132,128
"Chikamoto, Koji",2024,T,639,10.6,14.6,0.73,0.285,0.365,0.363,0.728,0.078,5,0.33,9.1,0.3,72.7,17.3,0.337,132.3,123
"Asamura, Hideto",2024,E,552,12.3,18.3,0.67,0.253,0.346,0.382,0.728,0.13,1.2,0.288,-5.8,-0.6,62.6,12.7,0.333,135.6,129
"Mannami, Chusei",2024,F,556,7,21.6,0.33,0.252,0.31,0.425,0.735,0.173,1.9,0.295,-1.5,-0.8,62.6,12.5,0.332,136.1,125
"Sakakura, Shogo",2024,C,462,6.7,17.3,0.39,0.279,0.328,0.412,0.74,0.133,2.4,0.318,0,-0.1,50.9,10.9,0.332,130.7,124
"Osuna, Jose",2024,S,585,6.8,15.6,0.44,0.267,0.32,0.414,0.733,0.147,1.3,0.293,-1.8,-1,63.2,12.5,0.329,132.1,110
"Nakano, Takumu",2024,T,634,7.3,15.3,0.47,0.232,0.297,0.282,0.579,0.049,3.4,0.28,9,-1.2,42,-13,0.271,132,77
